"Time(Sec)","F7(uV)","F8(uV)","Fz(uV)","T3(uV)","Pz(uV)","  O2(uV)","VEOG(mV)","HEOG(mV)","ECG(mV)","T4(uV)"
31.433333,1.945496,22.17865,17.39502,18.791199,6.317139,12.886047,0.022614,0.027924,0.070496,23.529053
31.439583,14.854431,24.673462,19.798279,19.638062,16.845703,16.685486,0.023346,0.044586,0.069214,13.458252
31.441667,-10.253906,33.416748,24.215698,21.446228,25.611877,23.826599,0.018036,0.057495,0.065186,16.227722
31.447917,-44.10553,2.197266,4.096985,2.220154,26.000977,25.657654,0.009476,0.053055,0.064178,5.149841
31.45,-34.835815,-1.739502,-0.205994,3.318787,20.41626,21.148682,0.009842,0.0336,0.065689,5.699158
31.45625,31.700134,21.057129,21.995544,31.906128,16.342163,17.669678,0.022934,-0.013229,0.073792,5.699158
31.458333,41.976929,27.397156,30.578613,43.579102,19.752502,21.42334,0.025452,-0.019043,0.065414,7.553101
31.464583,36.346436,16.456604,21.606445,39.848328,10.917664,13.961792,0.014786,-0.037674,0.056808,11.833191
31.466667,39.390564,10.368347,17.00592,28.633118,6.248474,7.965088,0.010254,-0.055252,0.063812,11.46698
31.472917,60.745239,12.9776,25.177002,36.621094,18.608093,16.822815,0.017487,-0.081985,0.075989,11.535645
31.475,66.925049,22.293091,33.027649,45.181274,26.069641,24.078369,0.012085,-0.095078,0.080566,25.19989
31.48125,60.012817,10.185242,29.159546,43.762207,25.382996,24.765015,0.007599,-0.109863,0.050217,-45.959473
31.483333,57.540894,-2.105713,24.101257,39.070129,20.942688,20.439148,0.010574,-0.122314,0.045685,-2.426147
31.489583,72.441101,8.377075,33.851624,48.980713,27.740479,23.803711,0.009521,-0.143692,0.075073,16.731262
31.491667,58.044434,15.014648,30.761719,44.128418,27.374268,24.330139,-0.003571,-0.129364,0.076035,18.90564
31.497917,64.315796,6.202698,31.333923,41.862488,26.000977,25.932312,0.022705,-0.123093,0.085419,15.151978
31.5,55.732727,-1.052856,25.360107,40.328979,23.597717,23.826599,0.020325,-0.126846,0.076767,11.009216
31.50625,44.837952,0.732422,19.432068,37.857056,27.030945,27.626038,0.000183,-0.11499,0.065277,7.896423
31.508333,54.656982,2.76947,23.895264,41.19873,32.341003,31.539917,0.01799,-0.108902,0.075806,10.986328
31.514583,43.807983,-0.549316,20.484924,35.842896,26.618958,26.893616,-0.000046,-0.11174,0.068756,1.625061
31.516667,40.489197,-2.01416,16.914368,33.943176,22.521973,23.300171,0.002289,-0.108398,0.072601,-7.919312
31.522917,39.115906,-3.616333,17.326355,33.004761,26.069641,26.115417,-0.002655,-0.102631,0.081345,15.975952
31.525,45.11261,15.335083,27.145386,38.520813,34.538269,31.173706,0.00499,-0.099472,0.070541,27.671814
31.53125,49.713135,-3.341675,21.537781,38.063049,32.341003,29.891968,-0.003159,-0.105148,0.082306,7.621765
31.533333,26.779175,-4.692078,16.136169,28.541565,29.22821,27.053833,-0.003067,-0.099106,0.08844,-18.447876
31.539583,37.101746,1.350403,25.840759,33.874512,26.046753,21.835327,0.003983,-0.091049,0.071777,17.211914
31.541667,44.448853,5.996704,29.86908,46.234131,29.960632,27.648926,0.003021,-0.089081,0.075119,24.238586
31.547917,46.165466,10.025024,30.326843,36.254883,36.804199,30.738831,-0.001328,-0.092834,0.066879,20.736694
31.55,43.395996,11.604309,30.532837,34.698486,39.276123,33.874512,0.00119,-0.085693,0.074158,16.960144
31.55625,30.647278,3.204346,21.148682,36.026001,30.62439,20.599365,0.007965,-0.075394,0.065689,-12.107849
31.558333,37.857056,10.276794,27.076721,40.763855,37.467957,28.770447,0.007599,-0.077499,0.057266,3.227234
31.564583,42.686462,5.310059,25.657654,20.896912,39.161682,29.891968,0.008652,-0.087753,0.03566,18.4021
31.566667,41.061401,3.890991,21.194458,21.743774,40.031433,29.411316,0.004211,-0.085464,0.027466,6.523132
31.572917,36.941528,-0.022888,22.68219,36.186218,45.341492,33.027649,0.007187,-0.080887,0.027695,18.928528
31.575,39.733887,3.616333,25.726318,40.237427,49.255371,38.520813,0.009293,-0.078598,0.03978,15.220642
31.58125,49.026489,5.081177,31.265259,40.969849,42.732239,36.712646,0.01236,-0.072006,0.052368,19.500732
31.583333,35.430908,1.167297,29.159546,41.542053,39.642334,34.767151,0.009888,-0.084549,0.025818,14.007568
31.589583,46.966553,14.831543,32.89032,51.795959,53.878784,45.593262,0.000916,-0.075623,-0.031128,34.309387
31.591667,54.199219,16.342163,36.323547,57.998657,57.929993,47.538757,0.006454,-0.075302,-0.042938,27.603149
31.597917,49.209595,9.841919,25.131226,52.024841,41.793823,30.395508,0.013275,-0.081894,-0.04953,22.750854
31.6,37.330627,2.655029,18.173218,43.464661,34.011841,27.076721,0.00325,-0.078644,-0.045044,23.597717
31.60625,51.429749,11.878967,34.126282,42.572021,42.068481,36.231995,0.028107,-0.06015,-0.020691,7.43866
31.608333,48.934937,16.593933,34.332275,41.633606,46.600342,37.765503,0.016525,-0.0672,-0.028061,23.139954
31.614583,40.260315,8.972168,24.902344,51.315308,34.90448,27.648926,0.012314,-0.065002,-0.03804,18.4021
31.616667,29.594421,4.096985,18.562317,40.969849,32.020569,25.131226,0.014008,-0.056488,-0.019089,8.399963
31.622917,37.605286,10.780334,29.36554,40.992737,43.35022,38.17749,0.01268,-0.059601,0.047516,5.172729
31.625,41.152954,16.708374,31.723022,44.723511,46.051025,40.077209,0.007645,-0.051636,0.05983,11.054993
31.63125,51.9104,10.093689,28.862,50.559998,47.080994,39.779663,0.001877,-0.061981,0.064545,26.046753
31.633333,25.131226,5.310059,19.866943,37.605286,39.161682,32.295227,0.000824,-0.057861,0.060425,23.963928
31.639583,33.599854,15.541077,31.082153,32.775879,43.487549,34.40094,0.011581,-0.050995,0.082214,25.588989
31.641667,40.740967,22.911072,38.909912,48.248291,45.822144,39.321899,0.014053,-0.05603,0.099564,-7.18689
31.647917,42.572021,15.701294,32.981873,42.228699,37.147522,29.548645,0.003433,-0.055984,0.115768,24.650574
31.65,40.763855,15.106201,31.63147,38.452148,36.804199,28.770447,0.004211,-0.048798,0.118469,15.838623
31.65625,38.726807,16.731262,32.913208,39.779663,33.348083,24.307251,0.016296,-0.043716,0.124741,17.39502
31.658333,46.257019,18.241882,37.582397,46.577454,39.115906,29.891968,0.025818,-0.053513,0.118835,13.412476
31.664583,42.09137,19.317627,32.066345,42.137146,37.902832,27.626038,0.019913,-0.047287,0.115082,20.851135
31.666667,33.073425,16.25061,26.092529,34.263611,33.851624,24.078369,0.009613,-0.044357,0.111694,11.764526
31.672917,46.394348,20.439148,32.432556,38.406372,34.240723,24.513245,0.014145,-0.03598,0.115723,14.831543
31.675,27.786255,19.317627,28.610229,35.430908,35.041809,27.053833,-0.001465,-0.036713,0.126755,20.256042
31.68125,37.055969,20.393372,32.501221,45.272827,39.93988,37.147522,0.016663,-0.043488,0.122177,30.62439
31.683333,35.797119,13.023376,28.289795,36.827087,35.545349,30.212402,0.016342,-0.042343,0.11824,7.713318
31.689583,33.691406,18.630981,27.694702,32.226563,38.452148,28.518677,0.014282,-0.028656,0.120575,-7.278442
31.691667,31.013489,22.911072,30.487061,34.629822,41.19873,32.844543,0.005493,-0.031036,0.111969,-0.640869
31.697917,37.811279,25.772095,32.020569,37.239075,40.603638,27.145386,0.022202,-0.035751,0.056122,26.092529
31.7,21.492004,12.565613,19.821167,22.087097,32.798767,18.814087,0.004898,-0.026871,0.03923,28.381348
31.70625,31.082153,19.592285,24.581909,21.17157,35.797119,19.248962,0.010803,-0.01886,0.048523,25.131226
31.708333,32.615662,19.432068,27.030945,31.608582,36.575317,22.888184,0.015793,-0.024399,-0.009384,-13.48114
31.714583,31.700134,26.802063,30.509949,39.367676,38.749695,26.71051,0.010483,-0.035522,-0.382553,37.948608
31.716667,42.34314,23.529053,30.487061,44.792175,37.353516,26.435852,0.027512,-0.036896,-0.572479,34.927368
31.722917,20.645142,18.264771,22.087097,28.4729,33.302307,18.241882,0.007965,-0.023621,-0.935028,12.542725
31.725,30.052185,30.075073,32.913208,39.070129,41.061401,25.772095,0.018585,-0.021881,-0.973068,29.22821
31.73125,31.494141,23.895264,30.418396,37.742615,33.256531,25.909424,0.023849,-0.025223,-0.694885,23.574829
31.733333,25.680542,12.153625,25.085449,33.210754,28.839111,22.521973,0.024857,-0.028976,-0.625626,22.476196
31.739583,27.374268,21.308899,31.471252,35.65979,38.68103,31.013489,0.019363,-0.011353,-0.175735,15.472412
31.741667,42.045593,26.916504,39.894104,48.294067,47.88208,40.855408,0.030396,-0.02124,0.046234,21.17157
31.747917,31.3797,20.095825,33.416748,40.145874,38.475037,35.316467,0.019135,-0.031357,0.452911,17.967224
31.75,26.939392,13.618469,27.053833,33.874512,33.210754,30.944824,0.025909,-0.027008,0.529495,15.449524
31.75625,32.066345,26.664734,31.12793,49.736023,38.543701,32.981873,0.023163,-0.006638,0.593536,3.158569
31.758333,43.029785,24.238586,33.874512,46.325684,42.869568,35.682678,0.026962,-0.014603,0.548676,-19.500732
31.764583,15.380859,14.579773,22.064209,20.004272,26.733398,25.909424,0.021606,-0.02179,0.383194,36.277771
31.766667,12.519836,10.551453,19.40918,23.345947,25.222778,23.757935,0.01712,-0.010895,0.339844,27.946472
31.772917,6.93512,6.660461,17.00592,30.258179,35.453796,28.770447,0.022934,0.000732,0.198303,22.842407
31.775,13.069153,13.504028,24.856567,39.962769,45.410156,39.779663,0.008698,-0.003937,0.137329,28.678894
31.78125,49.736023,23.345947,31.333923,48.591614,39.825439,32.180786,0.025955,-0.046371,0.095444,30.944824
31.783333,49.072266,13.046265,23.895264,43.190002,31.219482,24.581909,0.03241,-0.042343,0.090546,27.351379
31.789583,36.460876,15.060425,27.076721,45.822144,38.200378,27.740479,0.01767,-0.02655,0.087799,12.130737
31.791667,46.028137,24.284363,34.812927,53.741455,44.3573,33.691406,0.024445,-0.031723,0.088028,20.988464
31.797917,43.899536,27.877808,30.212402,45.822144,44.10553,33.050537,0.020691,-0.024582,0.065369,13.48114
31.8,39.093018,25.863647,27.923584,48.522949,44.540405,34.172058,0.018173,-0.023849,0.05896,8.44574
31.80625,32.569885,22.911072,22.109985,38.223267,38.291931,31.88324,0.028564,-0.014923,0.057083,8.033752
31.808333,44.448853,20.187378,28.106689,43.85376,43.716431,36.621094,0.028839,-0.013962,0.055161,16.25061
31.814583,20.874023,12.496948,14.465332,38.360596,32.432556,30.509949,0.022018,-0.021606,0.064911,-12.496948
31.816667,17.097473,3.227234,6.591797,29.434204,26.71051,22.201538,0.016113,-0.018173,0.060379,4.417419
31.822917,29.388428,13.618469,17.097473,41.908264,34.584045,30.670166,0.017029,-0.010345,0.041016,14.442444
31.825,36.849976,30.441284,29.319763,51.452637,42.457581,37.513733,0.025772,-0.011124,0.042572,28.083801
31.83125,32.844543,22.956848,25.039673,30.899048,39.070129,40.740967,0.021057,-0.014923,0.035385,10.986328
31.833333,23.918152,14.167786,17.807007,26.779175,34.011841,37.307739,0.020691,-0.013824,0.02623,28.083801
31.839583,28.083801,14.23645,16.159058,32.569885,31.768799,32.180786,0.010803,-0.012222,0.029572,31.791687
31.841667,23.986816,18.928528,18.196106,29.86908,32.981873,34.172058,0.014008,-0.005585,0.031311,33.119202
31.847917,32.13501,24.742126,19.706726,35.705566,36.026001,35.522461,0.028061,-0.012726,0.016205,10.848999
31.85,13.73291,12.9776,12.908936,27.603149,29.640198,32.203674,0.02449,-0.014191,0.009979,13.687134
31.85625,32.295227,28.289795,26.161194,44.10553,39.802551,35.247803,0.024124,-0.012222,0.01506,13.687134
31.858333,24.902344,25.428772,21.492004,43.395996,37.239075,31.837463,0.007965,-0.000137,0.010071,23.323059
31.864583,26.344299,11.146545,11.764526,37.67395,29.273987,27.648926,0.019638,-0.01506,-0.000366,-1.075745
31.866667,13.343811,8.033752,7.278442,20.988464,25.222778,26.687622,0.012131,-0.010391,-0.002563,-9.727478
31.872917,17.00592,12.817383,12.72583,24.261475,27.282715,28.770447,0.020645,-0.00238,-0.001007,25.588989
31.875,25.45166,27.397156,20.965576,29.823303,33.966064,35.110474,0.022339,-0.000778,-0.000366,24.513245
31.88125,16.960144,16.708374,11.672974,20.439148,17.463684,26.298523,0.014969,-0.001465,-0.041748,24.261475
31.883333,12.199402,13.298035,9.864807,24.375916,14.694214,23.4375,0.015976,-0.000366,-0.047012,20.462036
31.889583,28.244019,25.131226,21.537781,35.682678,32.13501,31.700134,0.034103,-0.00705,-0.033646,12.634277
31.891667,18.035889,28.244019,19.500732,25.909424,30.349731,29.548645,0.018539,-0.006775,-0.031815,16.891479
31.897917,16.113281,16.937256,14.73999,23.735046,21.194458,21.835327,0.017624,0.000504,-0.050354,41.519165
31.9,15.060425,14.671326,13.710022,22.315979,18.882751,20.16449,0.019363,0.002884,-0.049347,39.43634
31.90625,16.273499,18.15033,14.030457,27.053833,24.902344,25.085449,0.018036,0.009659,-0.066925,22.750854
31.908333,13.664246,20.9198,13.710022,25.70343,27.46582,26.779175,0.010071,0.010391,-0.067429,25.70343
31.914583,22.705078,20.072937,15.907288,28.152466,25.474548,27.076721,0.02005,0.000137,-0.07196,-0.183105
