"Time(Sec)","F7(uV)","F8(uV)","Fz(uV)","T3(uV)","Pz(uV)","  O2(uV)","VEOG(mV)","HEOG(mV)","ECG(mV)","T4(uV)"
32.65625,29.73175,-8.010864,2.700806,31.677246,29.777527,26.802063,-0.036163,-0.067703,0.073975,-2.76947
32.658333,15.083313,-15.541077,-2.082825,29.251099,30.349731,28.587341,-0.059875,-0.070358,0.067017,-15.701294
32.664583,34.14917,-9.017944,7.850647,33.805847,31.471252,30.12085,-0.048386,-0.081253,0.03804,12.016296
32.666667,18.424988,-13.435364,-3.364563,19.477844,26.756287,25.085449,-0.057266,-0.069168,0.040878,7.575989
32.672917,29.685974,4.943848,11.077881,40.145874,44.197083,34.767151,-0.042618,-0.06665,0.072922,0.022888
32.675,19.729614,0.915527,8.331299,28.701782,42.251587,32.684326,-0.056259,-0.053467,0.064041,6.111145
32.68125,28.747559,-8.171082,8.399963,43.922424,40.69519,31.837463,-0.046234,-0.066559,0.058777,10.047913
32.683333,24.719238,-10.116577,5.859375,40.054321,36.506653,28.862,-0.051086,-0.067657,0.057449,10.597229
32.689583,29.296875,-9.635925,0.663757,29.296875,38.040161,28.106689,-0.052094,-0.05159,0.056488,18.013
32.691667,15.518188,0.297546,6.248474,32.958984,44.334412,35.133362,-0.056076,-0.048431,0.055023,-7.713318
32.697917,18.310547,-2.929688,2.403259,28.381348,40.763855,28.953552,-0.058411,-0.048935,0.046417,12.9776
32.7,17.829895,-6.202698,-1.327515,28.358459,35.362244,25.039673,-0.055023,-0.050308,0.037811,4.188538
32.70625,15.472412,-6.843567,1.647949,32.432556,26.344299,21.080017,-0.073059,-0.048431,0.04509,9.521484
32.708333,28.060913,-2.059937,8.583069,42.320251,33.943176,27.854919,-0.073563,-0.048203,0.049438,14.808655
32.714583,19.088745,-0.686646,4.211426,36.827087,29.777527,25.222778,-0.047607,-0.045135,0.047333,5.630493
32.716667,11.787415,-4.096985,-0.75531,28.747559,28.312683,23.551941,-0.049347,-0.044449,0.042938,-5.149841
32.722917,4.02832,-12.9776,-9.544373,18.241882,21.331787,13.206482,-0.052872,-0.037216,0.044037,-0.205994
32.725,17.578125,0.640869,4.463196,37.307739,35.430908,26.985168,-0.052505,-0.042343,0.046097,8.857727
32.73125,13.137817,5.67627,2.01416,30.258179,27.648926,22.087097,-0.053238,-0.029892,0.047745,-21.446228
32.733333,4.348755,-11.444092,-8.69751,13.687134,21.308899,15.815735,-0.06839,-0.029892,0.047791,-2.700806
32.739583,10.391235,-4.669189,-2.76947,16.319275,26.733398,14.23645,-0.064453,-0.03154,0.044815,12.72583
32.741667,17.807007,5.081177,2.861023,21.148682,28.541565,13.847351,-0.052963,-0.022156,0.046234,9.086609
32.747917,-6.68335,-1.785278,-2.105713,27.96936,27.603149,13.389587,-0.070038,-0.032639,0.045685,19.844055
32.75,-5.447388,-0.137329,0.640869,26.504517,28.083801,14.625549,-0.061066,-0.025589,0.052185,2.929688
32.75625,3.318787,-0.801086,0.75531,26.161194,25.932312,15.563965,-0.058182,-0.015701,0.046646,7.18689
32.758333,5.699158,-2.082825,-1.213074,27.236938,29.273987,17.555237,-0.047562,-0.00856,0.050766,11.375427
32.764583,18.814087,8.674622,7.713318,34.606934,35.751343,25.70343,-0.040649,-0.030258,0.068893,9.315491
32.766667,-1.281738,-10.551453,-6.980896,16.548157,23.002625,16.822815,-0.057587,-0.015472,0.062805,0.801086
32.772917,7.415771,-1.029968,4.989624,28.175354,26.916504,24.559021,-0.046921,-0.013962,0.065552,8.514404
32.775,9.635925,4.463196,6.500244,32.569885,34.675598,30.670166,-0.054062,-0.00737,0.064362,8.44574
32.78125,10.528564,4.142761,0.549316,23.460388,30.258179,28.839111,-0.040329,-0.012909,0.060196,12.72583
32.783333,6.797791,-0.961304,-5.470276,19.340515,24.765015,25.131226,-0.034882,-0.010986,0.061752,8.399963
32.789583,1.441956,0.869751,-5.4245,19.935608,22.636414,20.16449,-0.028839,-0.005676,0.052505,8.605957
32.791667,-1.350403,-0.183105,-6.248474,22.109985,28.633118,25.886536,-0.015747,-0.005493,0.047791,17.50946
32.797917,11.260986,13.22937,3.181458,25.085449,33.14209,31.768799,-0.01149,-0.010986,-0.000183,-29.136658
32.8,9.223938,0.915527,-1.739502,19.821167,28.175354,27.442932,-0.006821,-0.012817,-0.006638,13.847351
32.80625,24.513245,13.023376,12.313843,33.416748,31.608582,37.010193,-0.004532,-0.020599,0.027008,21.446228
32.808333,30.052185,17.234802,21.514893,38.9328,37.605286,40.901184,0.031174,-0.016022,0.024948,29.525757
32.814583,42.686462,26.000977,28.129578,35.591125,38.200378,38.658142,0.069809,-0.020004,0.012177,31.448364
32.816667,31.013489,20.759583,24.879456,34.606934,30.303955,33.325195,0.064728,-0.01593,0.017075,27.71759
32.822917,53.695679,33.760071,41.908264,50.102234,40.19165,40.077209,0.138062,-0.015839,-0.012405,26.756287
32.825,58.296204,42.549133,52.66571,46.417236,42.938232,42.892456,0.16008,-0.011215,-0.030304,31.288147
32.83125,48.706055,51.269531,59.875488,14.442444,43.441772,42.320251,0.223251,-0.00238,-0.047791,21.881104
32.833333,51.177979,45.61615,62.3703,22.407532,35.957336,37.788391,0.245407,-0.011902,-0.056122,17.50946
32.839583,92.468262,68.138123,78.918457,41.542053,38.406372,40.237427,0.315399,-0.022156,-0.053146,24.765015
32.841667,97.869873,73.539734,84.068298,45.913696,47.607422,47.790527,0.31517,-0.033875,-0.039917,28.953552
32.847917,112.106323,72.8302,89.630127,44.975281,54.130554,55.709839,0.342133,-0.034836,-0.041107,13.847351
32.85,98.098755,64.498901,81.916809,41.8396,50.90332,56.07605,0.324509,-0.04303,-0.037399,12.382507
32.85625,109.2453,64.704895,86.540222,44.10553,40.283203,41.107178,0.337418,-0.058456,-0.003571,18.447876
32.858333,108.467102,64.659119,88.554382,50.605774,46.096802,48.500061,0.346115,-0.065186,0.007416,23.963928
32.864583,91.873169,52.139282,75.050354,45.570374,48.477173,50.14801,0.346664,-0.065643,0.037491,-2.563477
32.866667,80.360413,46.234131,64.956665,37.513733,38.864136,42.938232,0.320526,-0.057358,0.044266,-9.086609
32.872917,103.134155,57.037354,73.997498,54.473877,39.321899,43.212891,0.293427,-0.060562,0.06958,23.323059
32.875,105.262756,61.981201,78.75824,60.997009,43.670654,46.142578,0.293427,-0.060699,0.076767,25.611877
32.88125,89.103699,44.540405,66.261292,48.477173,37.994385,39.596558,0.272003,-0.070633,0.095856,22.384644
32.883333,83.953857,39.207458,61.981201,36.941528,34.423828,35.705566,0.270859,-0.052185,0.098236,3.845215
32.889583,79.444885,49.095154,57.106018,41.404724,33.439636,32.752991,0.224625,-0.056854,0.116547,28.495789
32.891667,89.035034,51.315308,62.553406,47.744751,37.261963,36.277771,0.228699,-0.05072,0.11998,40.94696
32.897917,75.942993,32.295227,57.975769,26.20697,42.640686,39.482117,0.202148,-0.063171,0.096222,25.268555
32.9,58.044434,27.671814,46.508789,9.864807,34.90448,32.180786,0.176331,-0.057587,0.088989,32.157898
32.90625,66.261292,31.242371,45.822144,39.848328,36.071777,31.723022,0.172211,-0.044678,0.095123,8.19397
32.908333,69.099426,37.788391,52.528381,48.660278,45.936584,39.894104,0.160812,-0.04335,0.110184,25.474548
32.914583,70.243835,35.110474,54.428101,54.588318,45.61615,43.167114,0.134628,-0.047104,0.115402,26.847839
32.916667,47.790527,28.152466,39.299011,39.299011,36.003113,34.172058,0.121628,-0.037445,0.12085,5.905151
32.922917,50.765991,29.090881,42.251587,46.600342,48.751831,46.897888,0.086472,-0.02655,0.109451,12.313843
32.925,58.296204,32.432556,48.751831,65.116882,60.287476,55.549622,0.079422,-0.027924,0.117599,15.884399
32.93125,47.149658,24.810791,36.346436,29.983521,43.785095,39.802551,0.060379,-0.025864,0.111328,5.836487
32.933333,22.018433,15.975952,23.139954,24.69635,31.288147,31.013489,0.04129,-0.019501,0.09137,16.593933
32.939583,33.096313,17.852783,28.175354,37.284851,32.89032,31.333923,0.045319,-0.001328,0.06015,28.4729
32.941667,26.344299,21.194458,28.770447,41.313171,37.513733,34.721375,0.037399,-0.009064,0.072784,24.856567
32.947917,16.479492,18.4021,20.645142,30.029297,33.943176,30.601501,0.003799,0.002518,-0.070862,19.111633
32.95,14.968872,12.107849,17.14325,26.756287,29.685974,27.46582,-0.001282,-0.00119,-0.201691,22.315979
32.95625,15.541077,18.516541,27.236938,35.888672,34.240723,30.944824,-0.018173,0.015106,-0.750137,-6.202698
32.958333,17.051697,15.106201,26.779175,35.797119,39.161682,33.782959,-0.025772,0.010437,-0.872223,13.298035
32.964583,12.817383,5.149841,21.858215,38.9328,43.441772,33.027649,-0.044037,-0.000366,-0.992386,20.16449
32.966667,6.134033,10.116577,17.601013,35.705566,40.214539,30.487061,-0.054199,0.005722,-0.855835,16.593933
32.972917,6.134033,16.456604,20.736694,47.950745,46.37146,37.788391,-0.049301,0.021698,-0.496857,7.141113
32.975,12.290955,16.822815,22.201538,45.845032,48.065186,43.09845,-0.057312,0.021332,-0.318512,27.786255
32.98125,-9.658813,6.156921,8.44574,36.689758,34.332275,40.83252,-0.07283,0.021378,0.291275,16.25061
32.983333,-6.225586,4.257202,3.822327,29.708862,33.714294,38.475037,-0.063492,0.023895,0.450073,23.872375
32.989583,2.288818,0.640869,2.426147,24.353027,39.894104,49.438477,-0.074112,0.028336,0.625259,-0.480652
32.991667,-10.322571,10.162354,1.922607,29.159546,40.19165,45.11261,-0.079926,0.030991,0.605026,3.730774
32.997917,-31.951904,-4.02832,-13.023376,12.313843,23.963928,31.494141,-0.096588,0.039871,0.443802,12.886047
33,-30.807495,-5.67627,-15.678406,9.315491,17.921448,23.963928,-0.09938,0.037811,0.381546,24.009705
33.00625,-27.740479,-0.068665,-14.328003,12.313843,23.986816,17.372131,-0.100754,0.045044,0.229477,10.96344
33.008333,-17.051697,10.276794,-6.591797,16.822815,33.920288,24.490356,-0.092377,0.041565,0.171799,9.635925
33.014583,-8.308411,8.010864,-2.700806,25.016785,34.378052,25.177002,-0.088028,0.029846,0.052185,14.556885
33.016667,-9.155273,7.644653,-6.568909,23.094177,29.182434,23.071289,-0.094116,0.028748,0.069031,5.104065
33.022917,-12.954712,1.052856,-6.797791,30.349731,26.939392,23.094177,-0.090317,0.036713,0.09343,5.630493
33.025,-7.415771,6.111145,-4.623413,38.017273,30.349731,26.390076,-0.08757,0.038589,0.086472,17.555237
33.03125,-1.625061,9.841919,-9.521484,22.865295,28.518677,27.740479,-0.099335,0.04335,0.067383,17.669678
33.033333,-26.321411,1.029968,-19.91272,-0.068665,22.270203,23.300171,-0.103546,0.040695,0.055573,27.236938
33.039583,-21.789551,5.012512,-13.549805,9.796143,30.532837,28.633118,-0.105652,0.055435,0.046829,5.813599
33.041667,-18.356323,13.526917,-1.144409,16.159058,39.894104,39.390564,-0.10144,0.057999,0.047012,18.424988
33.047917,-19.638062,15.380859,-6.706238,13.549805,30.899048,28.038025,-0.099609,0.047333,0.053741,24.353027
33.05,-15.518188,8.285522,-11.97052,9.178162,23.414612,22.796631,-0.090958,0.045593,0.052139,23.849487
33.05625,-28.198242,6.385803,-12.062073,10.643005,16.410828,18.630981,-0.095993,0.057816,0.035889,13.183594
33.058333,-15.838623,11.260986,-2.105713,20.553589,23.345947,23.963928,-0.092514,0.048065,0.031128,32.592773
33.064583,-18.791199,12.565613,-3.913879,14.831543,19.638062,17.097473,-0.111145,0.048523,0.027145,16.25061
33.066667,-24.787903,6.111145,-8.766174,8.171082,13.48114,11.100769,-0.098465,0.053055,0.033096,13.298035
33.072917,-16.685486,9.017944,-3.27301,17.944336,22.407532,16.090393,-0.069626,0.054977,0.047745,-9.544373
33.075,-0.091553,20.828247,7.850647,24.261475,32.546997,23.4375,-0.061569,0.051453,0.04129,9.567261
33.08125,-8.19397,17.234802,-1.945496,18.722534,23.826599,13.458252,-0.093292,0.053375,0.013596,17.829895
33.083333,-30.944824,8.19397,-10.437012,10.070801,16.571045,7.026672,-0.101807,0.046738,0.005402,7.164001
33.089583,-13.183594,12.634277,1.121521,20.439148,17.532349,6.843567,-0.077591,0.056168,-0.001465,3.135681
33.091667,-8.69751,17.097473,6.134033,28.312683,24.353027,13.938904,-0.081116,0.052002,-0.004395,3.456116
33.097917,-10.757446,17.051697,0.938416,20.690918,17.074585,8.331299,-0.07814,0.059189,-0.000595,18.356323
33.1,-14.808655,10.368347,-4.417419,20.690918,13.298035,7.18689,-0.08757,0.059326,0.001099,7.804871
33.10625,-21.858215,9.20105,-10.20813,10.139465,14.465332,12.153625,-0.077728,0.060654,-0.016251,4.875183
33.108333,-15.724182,14.007568,-3.181458,15.769958,22.338867,17.211914,-0.076584,0.059326,-0.019638,20.645142
33.114583,-20.210266,7.804871,-6.889343,13.000488,22.636414,20.896912,-0.079514,0.056534,-0.038589,35.65979
33.116667,-15.335083,4.966736,-5.561829,14.877319,24.44458,21.057129,-0.067749,0.052414,-0.041794,6.04248
33.122917,-47.927856,5.905151,-17.189026,2.449036,17.326355,21.949768,-0.083679,0.075027,-0.054657,11.833191
33.125,-29.411316,14.076233,-3.730774,15.953064,24.330139,31.219482,-0.066422,0.063492,-0.068207,20.027161
33.13125,-18.974304,11.993408,-7.232666,8.44574,23.963928,34.835815,-0.065002,0.049988,-0.087067,26.252747
33.133333,-29.754639,10.185242,-16.662598,1.991272,18.379211,31.173706,-0.070129,0.061432,-0.08519,15.014648
33.139583,-31.219482,4.142761,-20.530701,4.554749,18.424988,25.726318,-0.074982,0.059372,-0.075851,9.521484
33.141667,-23.323059,11.238098,-10.253906,14.396667,24.44458,30.761719,-0.065277,0.066788,-0.084457,11.833191
33.147917,-22.17865,18.058777,-8.377075,13.22937,23.895264,28.381348,-0.077499,0.058365,-0.105698,15.655518
33.15,-28.701782,11.421204,-15.4953,-2.952576,17.601013,22.224426,-0.079468,0.068298,-0.106155,11.375427
33.15625,-26.115417,10.96344,-16.365051,0.686646,16.044617,21.102905,-0.06839,0.070633,-0.107117,5.218506
33.158333,-23.963928,14.968872,-12.817383,5.630493,16.113281,20.393372,-0.06546,0.071686,-0.1008,4.371643
33.164583,-28.839111,11.146545,-11.375427,5.4245,13.069153,22.224426,-0.059052,0.068848,-0.114853,1.144409
33.166667,-29.891968,5.813599,-17.00592,-0.640869,7.850647,17.578125,-0.058182,0.06546,-0.121628,9.475708
33.172917,-25.177002,3.227234,-18.722534,2.174377,8.69751,14.831543,-0.069717,0.071594,-0.117508,11.558533
33.175,-15.655518,21.766663,-0.205994,25.016785,21.903992,29.777527,-0.046829,0.057449,-0.112564,12.634277
33.18125,-26.596069,4.096985,-20.278931,6.04248,1.670837,10.345459,-0.06134,0.060699,-0.109314,13.458252
33.183333,-41.152954,0.961304,-23.643494,-1.213074,0.549316,8.514404,-0.06633,0.067749,-0.114304,5.813599
33.189583,-29.502869,7.255554,-14.73999,-5.104065,-2.105713,9.590149,-0.057907,0.069809,-0.107529,18.4021
33.191667,-21.400452,12.657166,-9.521484,2.174377,6.134033,15.151978,-0.054428,0.07132,-0.097046,27.809143
33.197917,-32.295227,7.164001,-14.648438,-2.01416,5.607605,14.73999,-0.051086,0.062714,-0.096542,-0.205994
33.2,-38.818359,7.324219,-17.280579,-5.813599,1.831055,10.803223,-0.049164,0.070633,-0.090729,23.68927
33.20625,-20.004272,9.590149,-2.975464,4.646301,9.407043,15.769958,-0.039459,0.065186,-0.078964,17.303467
33.208333,-23.460388,23.68927,-0.595093,3.158569,13.000488,14.144897,-0.049667,0.070175,-0.075668,16.25061
33.214583,-24.421692,18.791199,1.785278,4.142761,13.183594,13.069153,-0.05452,0.074524,-0.047424,27.442932
33.216667,-24.581909,18.516541,-0.274658,3.318787,10.505676,10.757446,-0.052002,0.074524,-0.038177,15.289307
33.222917,-14.419556,21.42334,8.125305,15.060425,15.266418,11.741638,-0.029251,0.071457,-0.015976,-15.472412
33.225,-8.377075,25.863647,12.748718,19.271851,19.432068,14.602661,-0.029892,0.064682,-0.00769,7.095337
33.23125,2.952576,35.018921,23.551941,23.826599,22.247314,20.988464,-0.02774,0.061615,0.021378,26.45874
33.233333,-10.528564,23.895264,10.551453,13.412476,12.428284,11.46698,-0.031631,0.061661,0.021652,20.187378
33.239583,-4.966736,24.009705,11.283875,13.389587,16.456604,13.938904,-0.029572,0.069443,0.045639,9.384155
33.241667,9.429932,33.325195,23.208618,28.587341,21.125793,18.218994,-0.026138,0.04866,0.053833,12.313843
33.247917,0.869751,26.20697,11.192322,13.641357,13.046265,12.748718,-0.023392,0.059738,0.080612,20.324707
